"","date","heure","Seasons","Holiday","Functioning.Day"
"62",2018-05-03,"00:00:00","Spring","No Holiday","Yes"
"63",2018-05-04,"00:00:00","Spring","No Holiday","Yes"
"64",2018-05-05,"00:00:00","Spring","No Holiday","Yes"
"65",2018-05-06,"00:00:00","Spring","No Holiday","Yes"
"66",2018-05-07,"00:00:00","Spring","No Holiday","Yes"
"67",2018-05-08,"00:00:00",NA,"No Holiday",NA
"69",2018-05-09,"00:00:00","Spring","No Holiday","Yes"
"70",2018-05-10,"00:00:00","Spring","No Holiday","No"
"71",2018-05-11,"00:00:00","Spring","No Holiday","Yes"
"72",2018-05-12,"00:00:00","Spring","No Holiday","Yes"
"73",2018-05-13,"00:00:00","Spring","No Holiday","Yes"
"74",2018-05-14,"00:00:00","Spring","No Holiday","Yes"
"75",2018-05-15,"00:00:00","Spring","No Holiday","Yes"
"76",2018-05-16,"00:00:00","Spring","No Holiday","Yes"
"77",2018-05-17,"00:00:00","Spring","No Holiday","Yes"
"78",2018-05-18,"00:00:00","Spring","No Holiday","Yes"
"80",2018-05-19,"00:00:00","Spring","No Holiday","Yes"
"81",2018-05-20,"00:00:00","Spring","No Holiday","Yes"
